order_key,allocation_id,branch_number,courier,cost,sku
order_1,018cd7ee-fab0-77d9-b417-61fd0f96e865,060905,courier_c,20,60107365
order_10,018cda6c-7844-7f5a-acfb-1f70d6575592,000922,courier_a,87,56258808
order_10,018cda6c-7844-7f5a-acfb-1f70d6575592,005886,courier_a,87,60114735
order_100,018cd855-565b-732a-8803-0c3c5b802447,015147,courier_a,87,36247455
order_1000,018cd9db-60e8-7815-8dd9-e5448a7f810e,000685,same_store,,60304715
order_1000,018cd9db-60e8-7815-8dd9-e5448a7f810e,000927,courier_a,38,"17026202, 17026202"
order_1001,018cd81b-5dbf-79c7-af55-3befa701f1d7,008614,courier_a,62,59670232
order_1002,018cdb61-2286-7ea6-b63e-f0e4ae7d1b3b,000783,courier_a,62,60351129
order_1003,018cdb2d-53dc-71a0-821f-332c77d22374,020500,courier_a,38,"60077850, 60102112, 59569511"
order_1003,018cdb2d-53dc-71a0-821f-332c77d22374,020505,courier_a,38,59678110
order_1004,018cda40-acca-72bf-8335-ac72c1cda0b2,030566,courier_a,87,60087632
order_1005,018cda67-562b-7bf6-85d0-a750ab7a295d,000487,courier_a,87,60129863
order_1006,018cd90a-6579-78ae-a361-c6fc82a022b2,030691,courier_a,87,60199970
order_1007,018cd937-3aa0-7e63-8392-cab30d4c8051,000818,courier_b,62,57311468
order_1008,018cda0f-e823-7a04-a28b-cba988a0f34a,330027,courier_a,38,"18027293, 18027293"
order_1008,018cda0f-e823-7a04-a28b-cba988a0f34a,330302,courier_b,62,"18021571, 18040322"
order_1009,018cd889-3933-7670-bcfc-ef0f45167ec9,020541,courier_a,38,60256342
order_101,018cd882-1643-790c-9c24-9e0e057cc526,000492,courier_a,69,60004863
order_1010,018cdac5-bb38-7bf5-9a91-2b2b4df5427d,000981,courier_a,87,59859277
order_1010,018cdac5-bb38-7bf5-9a91-2b2b4df5427d,005685,courier_a,87,59766722
order_1011,018cda3b-2e5a-7e34-a614-c3db7ce0816a,038924,courier_b,62,60064263
order_1012,018cd92f-67f6-7982-8f69-b6ebf3508829,060987,courier_a,62,59745229
order_1013,018cd8c8-5d28-7e85-8b59-6112e2b67532,060840,courier_a,38,60109628
order_1013,018cd8c8-5d28-7e85-8b59-6112e2b67532,060905,courier_a,38,"60010768, 60039780"
order_1014,018cdb06-7b88-74aa-b514-3ddbfd0ff050,000749,same_store,,"59584839, 59584841, 59793439"
order_1015,018cdb95-406d-7a64-9537-77e25879806a,060840,courier_a,87,60032661
order_1016,018cdb13-3f09-71dd-a762-3eae0d3797d9,038924,courier_b,62,60238063
order_1017,018cd88c-eda5-7389-b8be-65f2b5ba8e21,030301,courier_a,69,59259904
order_1018,018cd937-6728-75b1-9bcf-d35c91a01d8a,000487,courier_a,46,56001206
order_1018,018cd937-6728-75b1-9bcf-d35c91a01d8a,028184,courier_b,72,60017325
order_1018,018cd937-6728-75b1-9bcf-d35c91a01d8a,060480,courier_b,72,57300469
order_1018,018cd937-6728-75b1-9bcf-d35c91a01d8a,060595,courier_a,46,59437561
order_1019,018cd814-097c-7cc3-8966-0357bbc6c5e7,060805,courier_a,69,60078201
order_102,018cdbbf-5fff-756c-8bbc-6d9ca5a6fa38,020400,courier_a,62,57695085
order_1020,018cd8d9-f6ab-702f-b08d-3526d2c9b371,060502,courier_a,69,60120382
order_1021,018cd90d-9bf5-754e-9e80-5076d7b91247,000035,courier_a,87,59944668
order_1021,018cd90d-9bf5-754e-9e80-5076d7b91247,004112,courier_b,95,59886533
order_1022,018cd958-82e0-7827-adce-2402c08747cc,063589,courier_a,62,59797256
order_1023,018cdb5a-a9a8-7269-98a0-8ebb6a61b1b8,060857,courier_a,62,60204509
order_1024,018cda11-e43e-7dd1-9189-9343c832101b,000059,courier_a,46,59610151
order_1024,018cda11-e43e-7dd1-9189-9343c832101b,000200,courier_a,46,"59965235, 60080221"
order_1024,018cda11-e43e-7dd1-9189-9343c832101b,000922,courier_a,69,60165358
order_1024,018cda11-e43e-7dd1-9189-9343c832101b,000981,courier_a,69,"59776187, 59795712"
order_1024,018cda11-e43e-7dd1-9189-9343c832101b,060932,courier_a,69,59996154
order_1025,018cda88-8116-7c72-a199-7e1e102346a3,038924,courier_b,62,60239889
order_1026,018cd8a6-0ba8-7d3c-939e-d3788e9c827c,000683,courier_a,62,59163482
order_1027,018cd9a3-3eea-7d36-b6c4-0a1c005da582,000470,courier_a,38,60016048
order_1028,018cdb25-bede-7504-abed-836ea0a2d651,060672,courier_a,87,59950792
order_1029,018cd9db-f7ca-7e69-91dc-2b015ba72acd,060772,courier_a,69,60411520
order_103,018cd6f5-178d-771f-9004-722b93d14294,020400,courier_a,38,59664523
order_1030,018cda01-0dc2-7097-8a0b-867caf8da7e5,004112,courier_b,72,60211287
order_1030,018cda01-0dc2-7097-8a0b-867caf8da7e5,330302,courier_b,72,"10000247, 10000247, 10000247"
order_1031,018cd97c-6a55-7f5f-9c76-c79a7f5c39d5,028184,courier_b,95,59921783
order_1032,018cd9cd-1a2f-711e-a6bb-e9fdd55feba4,028184,courier_b,62,60259231
order_1033,018cda90-afaf-7111-adac-25db53f6c037,020400,courier_a,87,59803268
order_1033,018cda90-afaf-7111-adac-25db53f6c037,060853,courier_a,87,60211545
order_1034,018cd7db-6405-7de0-aeaf-7c98d0efed68,000084,courier_a,46,60206734
order_1034,018cd7db-6405-7de0-aeaf-7c98d0efed68,000518,courier_a,46,60252882
order_1034,018cd7db-6405-7de0-aeaf-7c98d0efed68,008318,courier_a,69,"60258709, 60332660"
order_1035,018cdaf2-5e8d-7b23-b433-a587fa4afe03,330084,courier_a,38,18017090
order_1036,018cdb67-803f-7145-ab6c-69190e999d4b,330073,courier_a,22,"18024303, 60049392"
order_1036,018cdb67-803f-7145-ab6c-69190e999d4b,330302,courier_b,62,59817373
order_1037,018cd901-bbf1-774f-b0f8-f33847c9ab7a,330302,courier_b,62,"18046365, 18046371"
order_1038,018cd8ad-1cc5-7525-a371-747d81b16618,060946,courier_a,46,60346518
order_1039,018cd968-9d09-7794-8abb-502e6841353c,007527,courier_a,62,60050782
order_104,018cd928-c031-7748-b51d-df8694257688,030485,courier_c,20,"60231390, 60231319, 60251011, 60251362"
order_104,018cd928-c031-7748-b51d-df8694257688,030757,courier_a,87,60251020
order_104,018cd928-c031-7748-b51d-df8694257688,060903,courier_a,87,60109627
order_1040,018cda24-e182-7568-ad41-effef2708af3,003726,courier_a,46,59864874
order_1040,018cda24-e182-7568-ad41-effef2708af3,004112,courier_b,72,57236279
order_1041,018cd9e2-b416-7612-98c7-4c54e528bea9,029608,courier_a,87,"59903695, 59903702"
order_1042,018cdaf9-9c73-7a6d-b7ae-9ee4af6ee29b,060225,courier_a,69,59839919
order_1043,018cda2f-5a37-7dbd-82fd-8ba0e61aafd9,330104,lfs,,18039841
order_1044,018cdade-3cf7-78cc-9a36-e5bcee99be14,069092,courier_a,22,59445122
order_1045,018cdb6c-9d2b-73eb-9e27-1843ef0a0f70,000437,courier_a,46,60319611
order_1045,018cdb6c-9d2b-73eb-9e27-1843ef0a0f70,000470,courier_a,46,60302426
order_1046,018cd837-103a-7d47-8e60-3ebebf9d6ff9,060595,courier_a,38,59992642
order_1046,018cd837-103a-7d47-8e60-3ebebf9d6ff9,060650,courier_a,38,59992730
order_1047,018cdb25-ff08-7ec9-90e4-b9c61791cfe0,020912,courier_a,87,59611670
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000025,courier_a,69,"59527898, 57761316"
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000116,courier_a,69,57761298
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000394,courier_a,87,59717269
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000445,courier_a,69,60189977
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000523,courier_a,69,"59670093, 60220025"
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000685,courier_a,69,"60241023, 60249119, 60325562, 60080060, 60249113, 59717157, 60249116, 60291957, 60080054"
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,000822,courier_a,69,"60080048, 60085474"
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,004112,courier_b,55,"60291969, 57761309"
order_1048,018cdaa4-d717-7f1c-9cfe-7b468bef301b,501870,courier_b,55,"60242617, 60216896, 60216900"
order_1049,018cdb03-687e-74a2-b81f-211c327a9ae9,016347,courier_a,62,36537304
order_105,018cd843-a46d-79dc-9a73-b25bfaabb329,066445,courier_b,72,60098191
order_1050,018cd8ff-c486-7e25-86d1-204ead50d322,000685,courier_a,87,60010509
order_1050,018cd8ff-c486-7e25-86d1-204ead50d322,000749,courier_a,87,"59400956, 60125690, 59949931, 60125689, 60199584"
order_1050,018cd8ff-c486-7e25-86d1-204ead50d322,004112,courier_b,95,60125686
order_1050,018cd8ff-c486-7e25-86d1-204ead50d322,060274,courier_b,95,57158473
order_1050,018cd8ff-c486-7e25-86d1-204ead50d322,063686,courier_a,87,60232232
order_1051,018cd880-40ed-7928-bf08-ebb3a5df0f24,060293,courier_a,87,31571644
order_1052,018cd8ef-e439-7a65-977f-8097b2039d5e,330302,courier_b,55,"18038068, 18038067, 18038067, 18041389, 18041389"
order_1053,018cd92a-9b24-75b8-81c1-f3e11f6553fe,060761,courier_a,62,59950887
order_1054,018cd7e1-dd38-7c5c-a08c-d344e9bdd55e,060293,courier_a,87,"60219828, 60116124, 60355078"
order_1054,018cd7e1-dd38-7c5c-a08c-d344e9bdd55e,060954,courier_a,87,60239935
order_1055,018cdb41-5f2d-7945-b7c3-b0870d16f5ed,020902,courier_a,87,"59752016, 59639893"
order_1056,018cd9bd-4268-7c0a-813c-fe3c6706f9ed,000337,courier_a,69,60117753
order_1057,018cd846-871e-7d99-8a10-b9d294a7a1e6,068019,courier_a,69,"59872595, 59872479"
order_1058,018cd9c5-0a4a-788a-add9-8c311f19db1c,330302,courier_b,72,18044061
order_1059,018cdb70-a180-762f-b0c6-dd44a828de75,000203,courier_a,38,60273941
order_106,018cd8ce-6b61-7dca-97b9-71fe73d7372e,000054,courier_a,38,60109382
order_106,018cd8ce-6b61-7dca-97b9-71fe73d7372e,001028,courier_a,38,60077110
order_106,018cd8ce-6b61-7dca-97b9-71fe73d7372e,035854,courier_a,38,60231086
order_106,018cd8ce-6b61-7dca-97b9-71fe73d7372e,060697,courier_a,38,59533811
order_1060,018cd9e8-be50-7b80-8310-d91bee6f51bf,000054,courier_a,87,59923699
order_1060,018cd9e8-be50-7b80-8310-d91bee6f51bf,000364,courier_a,87,60315061
order_1060,018cd9e8-be50-7b80-8310-d91bee6f51bf,060909,courier_a,87,57549560
order_1061,018cd8a3-4968-7e44-84fe-32b42f7b3d23,000447,courier_a,69,"59440107, 60194400"
order_1062,018cd86b-6398-757f-a65c-3e9acb04b16c,000033,courier_a,87,60282183
order_1062,018cd86b-6398-757f-a65c-3e9acb04b16c,501870,courier_b,95,60333736
order_1063,018cd984-331c-71e5-9313-7f43a14cfd9c,011203,courier_a,87,60010407
order_1063,018cd984-331c-71e5-9313-7f43a14cfd9c,030490,courier_a,87,60010407
order_1063,018cd984-331c-71e5-9313-7f43a14cfd9c,330562,courier_a,87,18037148
order_1064,018cda8c-1592-7b90-8cbc-ceb365fa584b,000059,courier_a,38,"60318908, 60315389"
order_1065,018cda57-c73d-7d19-b9a4-bf6b4bf0a8e0,060805,courier_a,69,60359284
order_1066,018cd9cc-2e37-7fee-8d35-8682ff3da6af,330102,lfs,,"18028835, 18028835, 18035281"
order_1067,018cda17-2ed9-73e2-a031-0d7985173a49,060480,courier_b,55,59511248
order_1068,018cd888-d441-7028-9acc-9159186a13e1,060274,courier_b,72,60038804
order_1069,018cda38-fa57-7b59-a511-676ba0c3a076,020960,courier_a,46,60072564
order_107,018cd926-b1d9-7549-aeec-bef6e5d61934,060925,courier_a,62,59759078
order_1070,018cdaa5-ef72-71b1-9ebb-cf258e2ebbf4,060643,courier_a,87,60001068
order_1071,018cdb79-c8bd-7592-82f7-3643fae1adc0,020904,courier_a,46,60069134
order_1072,018cda32-4bae-7958-8c1f-347f44cdc836,030667,courier_a,87,60232263
order_1072,018cda32-4bae-7958-8c1f-347f44cdc836,035854,courier_a,87,60265442
order_1072,018cda32-4bae-7958-8c1f-347f44cdc836,060950,courier_a,87,60142551
order_1073,018cd84b-2423-7f5d-ac44-b4adf14b15d7,060917,courier_a,62,56630729
order_1074,018cd94c-f9b6-7cfa-b721-8f1ffaf8625d,020400,courier_a,87,59422086
order_1075,018cdb32-16fb-71ad-9ea8-c10162f7cdfd,060909,courier_a,69,57651768
order_1076,018cda21-05b4-7034-8805-750253e50c46,020400,courier_a,46,"59093210, 59598857, 59459378, 59487472, 59598885"
order_1077,018cd895-f19c-7bda-a748-76657e8751a0,066445,courier_b,62,59969772
order_1078,018cd8d1-7994-72c4-8fdc-e3954e56d16d,000470,courier_a,87,59894948
order_1078,018cd8d1-7994-72c4-8fdc-e3954e56d16d,015271,courier_a,87,59894948
order_1079,018cdad1-8b2f-7b1f-84c4-0cbcf295416a,060670,courier_a,22,59934711
order_108,018cdb39-b282-76c3-bc9e-3095ef776554,330072,courier_a,87,"18028108, 18028108, 60079066, 60079066"
order_1080,018cd8c8-6c3a-70cd-b320-08f3b032f5e2,060274,courier_b,95,"59551560, 59551551"
order_1080,018cd8c8-6c3a-70cd-b320-08f3b032f5e2,060756,courier_a,87,"59900883, 57301247, 59427916, 57745958, 57301114"
